Year,Value,Units
2000,39.55049,PERCENT
2000,43.35205,PERCENT
2001,39.55049,PERCENT
2001,43.35205,PERCENT
2002,39.55049,PERCENT
2002,43.35205,PERCENT
2003,39.55049,PERCENT
2003,43.35205,PERCENT
2004,39.55049,PERCENT
2004,43.35205,PERCENT
2005,39.55049,PERCENT
2005,43.35205,PERCENT
2006,40.63218,PERCENT
2006,47.52316,PERCENT
2007,40.63218,PERCENT
2007,47.52316,PERCENT
2008,47.02117,PERCENT
2008,50.30097,PERCENT
2009,47.02117,PERCENT
2009,50.30097,PERCENT
2010,47.02117,PERCENT
2010,50.30097,PERCENT
2011,47.02117,PERCENT
2011,50.30097,PERCENT
2012,47.02117,PERCENT
2012,50.30097,PERCENT
2013,47.02117,PERCENT
2013,50.30097,PERCENT
2014,47.02117,PERCENT
2014,50.30097,PERCENT
2015,47.02117,PERCENT
2015,50.30097,PERCENT
2016,47.02117,PERCENT
2016,50.30097,PERCENT
2017,52.45385,PERCENT
2017,52.66301,PERCENT
2018,52.45385,PERCENT
2018,52.66301,PERCENT
2019,52.45385,PERCENT
2019,52.66301,PERCENT
2020,52.45385,PERCENT
2020,52.66301,PERCENT
2021,52.45385,PERCENT
2021,52.66301,PERCENT
